"R0000100","R0006500","R0007900","R0023400","R0023500","R0173600","R0214700","R0214800","R3110200"
1,8,8,12,12,5,3,2,-5
2,5,8,12,12,5,3,2,-4
3,10,12,14,14,5,3,2,-4
4,11,12,12,12,5,3,2,-4
5,12,12,18,18,1,3,1,-5
6,12,12,18,18,1,3,1,-4
7,12,12,17,17,1,3,1,-4
8,9,6,17,14,6,3,2,-4
9,12,10,13,13,1,3,1,14
10,12,12,12,10,6,3,2,-4
11,12,12,18,18,1,3,1,-4
12,15,12,17,17,5,3,2,-5
13,12,16,17,17,1,3,1,-4
14,12,12,17,17,5,3,2,-4
15,12,12,18,18,1,3,1,-4
16,12,12,13,13,5,3,2,-4
17,12,15,16,14,1,3,1,-4
18,12,16,18,18,1,3,1,-4
19,10,12,12,12,5,3,2,-4
20,12,18,16,16,5,3,2,-4
21,12,18,18,18,5,3,2,-4
22,12,12,16,16,5,3,2,-4
23,12,12,18,16,1,3,1,-5
24,12,12,12,12,1,3,1,-4
25,14,16,14,14,5,3,2,-4
26,16,17,16,16,1,3,1,-4
27,14,20,17,17,5,3,2,-4
28,14,20,16,16,5,3,2,-4
29,0,4,16,14,5,3,2,-4
30,-2,6,16,16,5,3,2,-4
31,9,3,12,12,4,1,1,-4
32,12,12,18,16,8,1,2,-5
33,12,15,12,12,4,1,1,-5
34,13,12,14,13,1,3,1,-4
35,12,12,14,12,5,3,2,-4
36,14,12,12,12,1,3,1,-4
37,12,12,16,12,5,3,2,-4
38,12,12,12,12,5,3,2,-4
39,12,12,12,12,1,3,1,-4
40,10,12,16,16,2,3,1,-4
41,10,12,16,16,2,3,1,-4
42,14,12,16,16,1,3,1,-4
43,10,9,12,12,6,3,2,-4
44,12,12,14,12,5,3,2,-4
45,9,10,14,14,1,3,1,-4
46,12,12,16,16,5,3,2,17
47,12,16,12,12,1,3,1,-4
48,12,12,16,16,2,3,1,-5
49,12,12,16,16,5,3,2,-4
50,9,10,12,9,5,3,2,-4
51,9,12,12,8,1,3,1,-5
52,12,14,14,14,1,3,1,-5
53,-2,4,7,7,4,1,1,8
54,3,5,10,10,1,3,1,-4
55,12,12,12,12,1,3,1,-5
56,12,12,16,16,5,3,2,-5
57,12,12,16,14,5,3,2,-4
58,12,17,18,17,5,3,2,-4
59,-2,-2,12,12,1,3,1,-4
60,12,16,18,18,1,3,1,-4
61,12,16,18,18,5,3,2,14
62,12,16,14,14,5,3,2,-4
63,12,12,16,16,1,3,1,-5
64,15,12,17,16,1,3,1,-5
65,16,12,16,16,5,3,2,-5
66,12,17,18,16,1,3,1,-4
67,-3,18,17,17,1,3,1,-4
68,16,17,16,16,5,3,2,-4
69,17,16,16,16,1,3,1,-5
70,20,16,16,16,1,3,1,-4
71,17,16,17,17,1,3,1,-4
72,14,16,16,16,5,3,2,-4
73,16,16,16,16,1,3,1,-5
74,15,16,-2,-2,5,3,2,15
75,14,16,16,16,5,3,2,-4
76,16,16,16,16,1,3,1,-4
77,16,16,16,16,5,3,2,-4
78,16,18,18,16,5,3,2,-4
79,16,18,18,18,1,3,1,-4
80,14,20,16,16,1,3,1,-4
81,12,20,16,16,1,3,1,15
82,-2,-2,11,11,3,2,1,-4
83,6,-2,12,12,3,2,1,-4
84,-2,12,12,12,3,2,1,-4
85,11,11,12,10,3,2,1,-4
86,9,9,12,12,7,2,2,-4
87,11,12,16,16,3,2,1,-4
88,12,12,16,16,3,2,1,-4
89,12,12,18,16,7,2,2,-4
90,5,4,17,17,1,3,1,-4
91,5,3,16,16,5,3,2,16
92,12,12,15,15,5,3,2,-4
93,-2,-2,12,12,1,3,1,-4
94,10,10,12,12,1,3,1,-4
95,10,-2,12,12,5,3,2,-4
96,6,-2,14,14,6,3,2,-4
97,12,11,16,14,5,3,2,-4
98,17,14,16,14,6,3,2,-4
99,12,16,16,14,5,3,2,-4
100,-2,-2,12,16,5,3,2,12
101,10,6,17,17,1,3,1,-4
102,10,5,14,16,5,3,2,-4
103,11,-3,16,16,1,3,1,-4
104,12,-2,15,15,5,3,2,-5
105,12,12,12,12,6,3,2,-4
106,12,9,16,16,1,3,1,-4
107,11,9,12,12,1,3,1,-4
108,11,8,18,18,1,3,1,-4
109,-3,-3,12,12,5,3,2,-4
110,-2,12,14,14,1,3,1,-4
111,11,10,14,12,5,3,2,-4
112,12,8,12,12,5,3,2,-4
113,-2,-2,12,12,1,3,1,-5
114,6,7,12,12,1,3,1,-4
115,10,12,18,16,5,3,2,-5
116,10,12,16,16,5,3,2,-5
117,10,12,16,16,1,3,1,-4
118,-2,8,16,12,5,3,2,-4
119,11,8,16,15,1,3,1,-4
120,16,12,18,18,1,3,1,-4
121,17,15,18,18,5,3,2,17
122,11,10,16,16,1,3,1,-4
123,16,16,16,16,1,3,1,15
124,14,14,16,14,5,3,2,-4
125,12,14,16,13,1,3,1,-4
126,14,15,18,18,1,3,1,-4
127,12,12,12,10,1,3,1,-5
128,10,12,16,12,5,3,2,-4
129,13,14,16,16,1,3,1,16
130,0,-2,14,14,6,3,2,-5
131,13,15,14,14,6,3,2,-5
132,-2,14,12,12,6,3,2,-5
133,10,11,16,16,5,3,2,-4
134,9,12,14,12,1,3,1,-4
135,9,12,16,12,1,3,1,-4
136,-2,12,12,12,5,3,2,-4
137,13,16,16,14,5,3,2,-4
138,14,16,14,14,5,3,2,-4
139,16,16,16,16,1,3,1,-4
140,15,12,17,17,5,3,2,17
141,12,16,16,16,5,3,2,-4
142,9,10,12,12,1,3,1,-4
143,10,10,14,14,5,3,2,-5
144,9,10,12,12,5,3,2,-4
145,12,12,16,12,1,3,1,-4
146,12,12,16,16,1,3,1,-4
147,10,12,14,14,5,3,2,-4
148,12,12,12,12,1,3,1,-4
149,11,12,12,12,5,3,2,-4
150,12,14,14,14,1,3,1,-4
151,12,12,12,12,5,3,2,-4
152,12,12,14,14,5,3,2,-4
153,12,13,14,14,5,3,2,-4
154,12,12,12,12,5,3,2,-5
155,12,12,14,14,1,3,1,-4
156,12,17,12,11,1,3,1,-4
157,12,16,14,14,5,3,2,14
158,12,16,16,16,5,3,2,-4
159,12,16,16,16,5,3,2,-4
160,8,8,16,15,5,3,2,-4
161,-2,7,12,12,5,3,2,-4
162,16,17,18,18,1,3,1,16
163,16,18,16,16,1,3,1,-4
164,12,12,12,12,5,3,2,-4
165,10,12,12,12,5,3,2,-4
166,10,12,12,12,1,3,1,13
167,12,12,12,12,5,3,2,-4
168,6,10,16,14,3,2,1,-5
169,6,10,16,12,7,2,2,-5
170,12,8,14,14,5,3,2,-4
171,13,12,17,17,1,3,1,-4
172,12,-2,9,9,6,3,2,-4
173,10,7,10,10,1,3,1,-4
174,13,12,14,14,8,1,2,-4
175,12,9,17,17,5,3,2,-4
176,12,12,18,18,5,3,2,-4
177,12,12,12,12,1,3,1,-4
178,12,14,14,14,1,3,1,-4
179,11,12,12,12,5,3,2,-4
180,12,16,16,16,5,3,2,15
181,14,12,16,13,1,3,1,-5
182,-2,-2,18,16,1,3,1,-5
183,12,12,14,14,5,3,2,-4
184,12,12,16,12,5,3,2,13
185,12,12,14,14,1,3,1,-4
186,12,12,18,18,5,3,2,-4
187,12,12,14,14,1,3,1,-4
188,10,12,14,12,5,3,2,-4
189,10,12,17,17,1,3,1,14
190,16,17,18,16,5,3,2,-4
191,16,17,16,16,1,3,1,19
192,12,12,16,16,5,3,2,-4
193,12,12,16,16,1,3,1,-4
194,12,12,16,16,1,3,1,-4
195,10,16,16,16,1,3,1,-4
196,20,16,16,16,1,3,1,18
197,11,12,16,12,5,3,2,-4
198,16,17,18,17,1,3,1,-4
199,12,12,16,12,1,3,1,-5
200,16,12,12,12,5,3,2,-4
201,13,20,17,17,1,3,1,-4
202,16,16,16,16,1,3,1,14
203,10,-2,14,14,8,1,2,-4
204,5,16,16,12,8,1,2,-4
205,-2,12,14,14,8,1,2,-4
206,11,12,12,12,1,3,1,-5
207,9,10,12,12,1,3,1,-4
208,-2,-2,12,11,6,3,2,-4
209,12,-3,16,12,1,3,1,-4
210,12,12,16,16,1,3,1,-4
211,12,12,16,16,5,3,2,-4
212,12,16,16,16,1,3,1,-4
213,12,16,16,16,1,3,1,-4
214,12,16,16,16,1,3,1,15
215,12,12,16,16,1,3,1,-5
216,11,14,16,16,5,3,2,-5
217,12,14,12,12,1,3,1,-5
218,12,12,18,16,1,3,1,-4
219,12,11,17,17,5,3,2,-4
220,12,12,18,17,5,3,2,-4
221,-2,-2,16,16,7,2,2,-4
222,9,-2,12,12,3,2,1,-4
223,-2,-2,14,12,3,2,1,-4
224,9,-2,12,12,7,2,2,-4
225,9,-2,10,-2,4,1,1,-4
226,9,6,-2,16,4,1,1,-4
227,9,9,12,12,7,2,2,-4
228,12,15,12,10,8,1,2,-4
229,8,9,16,14,5,3,2,-4
230,12,8,16,16,1,3,1,-4
231,-3,16,14,12,5,3,2,-4
232,10,14,14,14,1,3,1,-4
233,10,15,16,12,1,3,1,-4
234,9,9,16,12,2,3,1,-4
235,12,12,16,16,1,3,1,-4
236,9,12,18,18,5,3,2,-4
237,11,7,12,12,5,3,2,-4
238,9,12,12,12,6,3,2,-5
239,10,11,12,10,6,3,2,-4
240,8,8,12,12,6,3,2,-4
241,11,11,12,12,2,3,1,-5
242,12,12,14,12,5,3,2,-4
243,12,12,12,12,1,3,1,-4
244,16,7,12,12,5,3,2,-4
245,14,12,14,14,5,3,2,-4
246,12,12,12,12,1,3,1,-4
247,13,8,18,16,2,3,1,-4
248,16,8,18,9,2,3,1,-4
249,12,12,12,12,6,3,2,-4
250,12,8,12,12,5,3,2,-4
251,10,10,12,12,2,3,1,-4
252,10,-2,12,12,6,3,2,-4
253,8,12,12,12,1,3,1,-4
254,11,8,12,12,5,3,2,-4
255,10,8,14,14,5,3,2,-4
256,11,9,12,12,5,3,2,-4
257,11,9,12,12,1,3,1,-4
258,14,12,14,14,5,3,2,-4
259,12,12,12,14,1,3,1,-4
260,12,18,14,14,1,3,1,-4
261,12,8,14,14,1,3,1,-4
262,12,-3,12,12,5,3,2,-4
263,12,12,12,12,1,3,1,-4
264,10,10,12,12,5,3,2,-4
265,12,-2,18,18,5,3,2,-4
266,12,14,12,12,2,3,1,-5
267,8,12,12,12,1,3,1,-5
268,12,13,14,14,1,3,1,12
269,12,18,18,16,2,3,1,-4
270,12,16,14,14,1,3,1,-5
271,12,16,16,16,5,3,2,17
272,12,12,17,17,5,3,2,-4
273,12,12,14,14,1,3,1,-4
274,15,18,12,12,2,3,1,-4
275,14,18,17,17,6,3,2,-4
276,12,13,12,12,5,3,2,-4
277,16,13,12,12,1,3,1,-4
278,12,10,14,14,5,3,2,-4
279,12,14,14,14,1,3,1,-4
280,14,12,16,17,5,3,2,-5
281,13,13,16,16,1,3,1,-4
282,13,13,16,16,5,3,2,-4
283,8,12,12,11,4,1,1,-4
284,8,11,14,12,4,1,1,-4
285,8,12,12,13,8,1,2,-4
286,-3,12,12,12,8,1,2,-4
287,10,8,12,12,5,3,2,-4
288,10,9,12,12,5,3,2,-4
289,11,8,16,14,5,3,2,-4
290,6,7,12,11,8,1,2,-4
291,10,-3,15,15,3,2,1,-4
292,12,12,17,17,5,3,2,-4
