"R0000100","R0153800","R0153900","R0154300","R0214700","R0214800","R0799500","R0799600","R0800000","R2364600","R2364700","R2365100","R8418500","R8418501","R8418505"
1,2,2,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,4,3,4,3,2,3,3,4,3,4,4,2,2,2
3,2,4,3,3,2,1,1,1,2,2,3,-5,-5,-5
4,1,2,2,3,2,1,1,2,1,1,1,-5,-5,-5
5,2,2,3,3,1,2,2,3,-5,-5,-5,-5,-5,-5
6,1,1,1,3,1,1,1,1,1,2,1,4,4,4
7,1,2,2,3,1,1,1,1,1,2,2,4,4,3
8,2,2,4,3,2,1,2,2,1,1,1,4,4,3
9,1,2,1,3,1,2,2,2,1,1,1,4,4,4
10,2,2,2,3,2,2,2,1,-5,-5,-5,-5,-5,-5
11,1,2,3,3,1,2,3,3,-5,-5,-5,4,2,3
12,2,2,2,3,2,2,2,2,-5,-5,-5,-5,-5,-5
13,2,2,3,3,1,1,1,1,1,1,2,4,4,4
14,1,2,2,3,2,1,2,2,1,1,2,4,4,4
15,2,2,2,3,1,1,2,2,1,1,2,4,4,4
16,2,2,3,3,2,2,2,3,2,3,3,4,4,2
17,2,2,3,3,1,2,2,2,2,2,-2,3,3,3
18,2,2,1,3,1,4,4,4,4,4,3,3,2,3
19,2,2,4,3,2,1,1,1,2,2,2,-5,-5,-5
20,2,2,3,3,2,2,2,3,1,2,2,3,3,3
21,2,2,2,3,2,1,2,2,1,2,-2,4,4,4
22,1,2,3,3,2,1,2,2,2,2,3,4,3,3
23,1,2,2,3,1,4,4,1,-5,-5,-5,-5,-5,-5
24,2,2,2,3,1,3,3,3,2,3,3,-5,-5,-5
25,1,2,2,3,2,1,2,2,1,2,2,4,3,2
26,2,1,2,3,1,2,2,2,1,1,1,-5,-5,-5
27,1,2,4,3,2,1,2,1,1,1,1,4,3,4
28,1,1,1,3,2,1,1,2,1,2,1,-5,-5,-5
29,3,3,3,3,2,-2,3,-2,2,2,3,3,3,3
30,1,3,2,3,2,1,2,1,1,1,1,3,2,2
31,3,4,4,1,1,2,2,3,2,2,2,3,3,3
32,1,1,1,1,2,1,2,1,1,1,1,3,3,2
33,1,2,2,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
34,2,2,2,3,1,2,2,3,2,2,-2,3,3,8
35,2,2,2,3,2,2,2,2,2,1,2,-5,-5,-5
36,2,2,2,3,1,3,3,3,3,3,-2,3,3,3
37,1,2,3,3,2,3,2,3,1,1,2,4,3,4
38,2,2,3,3,2,2,2,3,1,2,1,4,3,3
39,1,1,1,3,1,1,1,4,1,2,1,3,3,3
40,2,2,2,3,1,2,2,2,2,2,2,4,4,3
41,3,4,3,3,1,1,1,1,1,3,1,4,2,3
42,2,2,2,3,1,3,4,3,2,2,3,3,3,3
43,1,2,2,3,2,1,2,2,1,1,2,4,4,4
44,2,2,2,3,2,1,2,3,2,2,2,3,3,3
45,2,2,2,3,1,2,2,2,1,1,2,-5,-5,-5
46,2,3,2,3,2,2,-2,2,1,-2,2,4,3,3
47,2,2,2,3,1,2,2,2,2,2,2,3,2,2
48,3,3,3,3,1,3,3,3,-5,-5,-5,-5,-5,-5
49,1,1,1,3,2,4,3,4,3,2,1,3,4,3
50,2,2,2,3,2,1,1,2,1,1,2,4,4,3
51,2,2,3,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,4,4,4,3,1,4,4,4,-5,-5,-5,-5,-5,-5
53,2,2,3,1,1,3,1,2,1,2,2,4,2,4
54,2,2,2,3,1,3,3,3,3,3,3,-5,-5,-5
55,2,3,2,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,1,1,1,3,2,1,2,1,-5,-5,-5,-5,-5,-5
57,1,2,2,3,2,1,1,1,1,1,1,4,4,4
58,1,2,1,3,2,1,2,1,1,2,1,4,4,3
59,2,3,2,3,1,2,2,2,2,2,2,3,3,3
60,2,2,2,3,1,-5,-5,-5,1,2,1,-5,-5,-5
61,2,2,1,3,2,2,2,3,1,1,2,4,4,3
62,1,2,2,3,2,1,2,1,1,1,2,4,3,3
63,2,2,2,3,1,2,2,2,2,2,1,3,3,3
64,2,2,2,3,1,1,3,2,-5,-5,-5,-5,-5,-5
65,1,2,2,3,2,1,1,1,-5,-5,-5,-5,-5,-5
66,4,3,3,3,1,2,3,2,2,2,3,3,3,3
67,3,2,2,3,1,4,4,2,2,2,2,-5,-5,-5
68,1,2,3,3,2,1,2,2,1,2,2,4,3,3
69,1,2,2,3,1,1,2,2,-5,-5,-5,4,4,4
70,1,2,2,3,1,2,1,2,2,2,2,3,3,3
71,2,2,2,3,1,1,2,3,2,2,3,-5,-5,-5
72,3,2,3,3,2,3,2,3,3,2,3,4,3,4
73,2,2,2,3,1,2,2,2,-5,-5,-5,4,4,3
74,1,4,2,3,2,1,1,1,1,1,1,-5,-5,-5
75,2,2,2,3,2,1,1,2,1,2,2,4,4,4
76,2,1,2,3,1,2,3,2,1,1,1,4,4,4
77,2,2,2,3,2,2,1,2,1,1,2,3,3,3
78,2,3,2,3,2,2,2,2,2,2,2,3,3,2
79,2,2,2,3,1,2,2,1,2,2,2,4,4,4
80,1,1,1,3,1,2,2,1,-5,-5,-5,4,3,3
81,1,2,2,3,1,4,2,2,1,1,3,4,2,8
82,1,2,2,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
83,3,3,3,2,1,2,2,4,1,1,1,3,3,2
84,2,2,2,2,1,2,2,3,2,2,2,4,3,4
85,4,2,4,2,1,4,4,1,-5,-5,-5,8,3,3
86,3,2,4,2,2,1,2,2,1,1,2,3,2,2
87,1,2,3,2,1,2,2,2,2,2,-2,4,4,4
88,1,1,2,2,1,1,1,2,1,1,2,4,4,3
89,1,1,1,2,2,1,1,1,1,1,1,4,4,4
90,2,2,3,3,1,2,2,2,1,2,2,4,3,3
91,2,2,1,3,2,2,2,2,1,1,1,4,3,4
92,1,1,3,3,2,2,2,1,1,2,2,4,4,3
93,2,2,3,3,1,3,3,3,2,2,2,2,2,8
94,2,2,3,3,1,2,2,2,2,2,2,2,3,2
95,2,2,2,3,2,2,2,2,1,2,1,4,4,3
96,1,1,1,3,2,2,2,3,2,2,1,3,2,3
97,1,1,2,3,2,1,1,1,1,3,2,4,3,3
98,1,1,1,3,2,2,2,2,1,1,2,4,2,2
99,1,2,2,3,2,2,2,2,2,2,3,4,3,2
100,2,3,3,3,2,1,2,2,1,1,1,4,3,3
101,3,3,3,3,1,3,2,3,2,2,2,3,3,3
102,3,3,4,3,2,1,2,2,1,1,1,4,4,4
103,2,3,3,3,1,1,3,3,1,2,3,4,4,3
104,1,3,1,3,2,1,2,1,-5,-5,-5,-5,-5,-5
105,1,2,2,3,2,1,3,1,2,3,2,4,4,4
106,2,3,3,3,1,2,2,2,1,1,2,3,3,3
107,1,2,2,3,1,1,1,2,1,2,2,3,4,3
108,2,2,2,3,1,1,2,2,1,1,2,4,3,3
109,2,2,3,3,2,1,3,2,1,2,1,-5,-5,-5
110,2,2,2,3,1,2,2,2,2,2,2,4,3,3
111,1,2,3,3,2,2,2,2,1,1,1,4,4,3
112,1,2,2,3,2,2,2,2,1,1,2,4,4,4
113,2,2,2,3,1,2,3,2,-5,-5,-5,-5,-5,-5
114,2,3,3,3,1,2,2,3,2,2,2,-5,-5,-5
115,1,2,1,3,2,1,1,1,-5,-5,-5,-5,-5,-5
116,2,1,2,3,2,1,1,1,-5,-5,-5,-5,-5,-5
117,2,2,2,3,1,2,3,2,2,2,2,3,3,3
118,1,2,2,3,2,1,3,2,-5,-5,-5,-5,-5,-5
119,1,3,2,3,1,2,2,2,2,2,3,3,3,3
120,3,3,3,3,1,3,3,2,4,4,4,3,2,2
121,2,2,2,3,2,1,1,1,1,1,1,4,4,4
122,1,2,2,3,1,1,2,2,2,2,2,4,4,4
123,2,2,2,3,1,2,2,2,1,2,2,-5,-5,-5
124,2,3,2,3,2,1,3,2,1,1,2,3,2,4
125,4,4,3,3,1,2,3,3,-5,-5,-5,-5,-5,-5
126,2,2,2,3,1,2,2,2,2,2,2,4,4,4
127,2,2,2,3,1,2,2,2,-5,-5,-5,-5,-5,-5
128,2,1,2,3,2,1,1,1,2,2,2,-5,-5,-5
129,2,2,2,3,1,1,1,1,2,2,2,3,3,3
130,3,2,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5
131,3,2,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,3,3,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5
133,1,1,1,3,2,1,1,1,1,1,1,4,4,4
134,3,4,4,3,1,2,2,2,-5,-5,-5,-5,-5,-5
135,3,2,3,3,1,2,3,3,1,3,2,3,3,2
136,2,4,2,3,2,1,2,2,1,1,1,3,3,3
137,2,1,2,3,2,2,1,2,2,2,2,4,4,4
138,3,2,4,3,2,2,2,3,2,2,3,3,3,3
139,2,2,2,3,1,2,2,2,1,1,3,3,3,3
140,2,2,1,3,2,2,2,2,1,1,2,4,4,4
141,2,2,2,3,2,1,1,2,2,2,2,4,3,3
142,2,2,2,3,1,2,2,2,-5,-5,-5,-5,-5,-5
143,1,1,1,3,2,2,2,2,-5,-5,-5,3,3,2
144,2,2,2,3,2,2,2,2,1,1,2,3,3,3
145,2,2,2,3,1,2,2,2,2,2,2,4,3,2
