"R0000100","R0153800","R0153900","R0154000","R0154100","R0154200","R0154300","R0154400","R0154500","R0173600","R0214700","R0214800","R0799500","R0799600","R0799700","R0799800","R0799900","R0800000","R0800100","R0800200","R2364600","R2364700","R2364800","R2364900","R2365000","R2365100","R2365200","R2365300","R8418500","R8418501","R8418502","R8418503","R8418504","R8418505","R8418506","R8418507"
1,2,2,1,1,4,2,1,4,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,4,3,2,2,3,4,3,4,5,3,2,3,3,2,2,4,4,3,4,3,4,3,2,4,4,3,4,2,2,2,2,2,2,2,1
3,2,4,3,3,3,3,3,3,5,3,2,1,1,1,1,4,1,4,1,2,2,2,3,3,3,4,3,-5,-5,-5,-5,-5,-5,-5,-5
4,1,2,3,4,1,2,4,2,5,3,2,1,1,4,2,4,2,4,2,1,1,4,3,3,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5
5,2,2,2,1,3,3,3,2,1,3,1,2,2,2,1,3,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,1,1,3,1,2,1,4,1,1,3,1,1,1,3,1,4,1,4,1,1,2,3,1,3,1,4,1,4,4,3,3,2,4,1,4
7,1,2,4,2,3,2,4,1,1,3,1,1,1,3,2,4,1,3,1,1,2,3,2,3,2,3,2,4,4,2,2,2,3,2,3
8,2,2,3,2,2,4,2,2,6,3,2,1,2,3,2,4,2,4,2,1,1,3,1,4,1,4,2,4,4,3,3,2,3,1,2
9,1,2,4,1,3,1,3,2,1,3,1,2,2,2,2,3,2,3,2,1,1,2,1,4,1,3,2,4,4,4,4,1,4,1,4
10,2,2,2,1,3,2,3,3,6,3,2,2,2,3,2,3,1,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,1,2,3,2,1,3,2,2,1,3,1,2,3,3,2,2,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5,4,2,4,4,1,3,1,8
12,2,2,2,2,4,2,3,3,5,3,2,2,2,2,2,4,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,2,2,2,1,4,3,2,2,1,3,1,1,1,3,2,4,1,3,3,1,1,3,2,4,2,4,2,4,4,2,3,2,4,2,3
14,1,2,3,1,2,2,4,2,5,3,2,1,2,2,2,3,2,4,2,1,1,2,1,3,2,4,2,4,4,3,3,3,4,1,8
15,2,2,3,2,3,2,3,2,1,3,1,1,2,2,2,3,2,3,2,1,1,4,1,3,2,4,2,4,4,4,3,4,4,1,3
16,2,2,3,2,3,3,3,2,5,3,2,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,4,4,2,4,2,2,2,1
17,2,2,2,2,2,3,3,1,1,3,1,2,2,3,2,3,2,3,-2,2,2,3,2,3,-2,2,2,3,3,2,3,2,3,2,2
18,2,2,3,2,2,1,4,2,1,3,1,4,4,1,4,2,4,3,3,4,4,2,3,2,3,3,4,3,2,4,2,3,3,1,4
19,2,2,2,2,3,4,3,1,5,3,2,1,1,3,1,4,1,4,1,2,2,3,2,3,2,3,-2,-5,-5,-5,-5,-5,-5,-5,-5
20,2,2,2,2,2,3,2,3,5,3,2,2,2,3,2,3,3,3,2,1,2,2,2,3,2,4,2,3,3,2,3,2,3,1,3
21,2,2,2,3,2,2,3,3,5,3,2,1,2,3,1,2,2,3,2,1,2,2,2,2,-2,3,3,4,4,2,4,3,4,1,3
22,1,2,3,3,2,3,3,2,5,3,2,1,2,2,2,3,2,3,3,2,2,3,4,1,3,3,2,4,3,2,2,1,3,1,2
23,1,2,2,2,3,2,4,1,1,3,1,4,4,1,1,1,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24,2,2,3,3,2,2,3,2,1,3,1,3,3,-3,3,3,3,3,3,2,3,2,3,4,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5
25,1,2,4,2,3,2,3,2,5,3,2,1,2,4,2,4,2,4,2,1,2,4,1,4,2,4,2,4,3,3,4,1,2,2,3
26,2,1,3,1,2,2,3,2,1,3,1,2,2,2,2,3,2,4,2,1,1,3,1,2,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5
27,1,2,4,2,3,4,4,2,5,3,2,1,2,4,1,3,1,4,1,1,1,4,1,3,1,4,2,4,3,2,4,2,4,1,3
28,1,1,2,1,2,1,3,1,5,3,2,1,1,3,1,2,2,3,2,1,2,-3,2,3,1,1,2,-5,-5,-5,-5,-5,-5,-5,-5
29,3,3,2,3,3,3,3,3,5,3,2,-2,3,3,3,3,-2,2,3,2,2,3,-3,2,3,2,2,3,3,3,2,8,3,2,2
30,1,3,2,3,2,2,3,2,5,3,2,1,2,4,3,4,1,4,2,1,1,2,2,3,1,4,1,3,2,3,2,2,2,2,4
31,3,4,3,3,3,4,3,4,4,1,1,2,2,4,2,2,3,4,3,2,2,3,2,3,2,3,2,3,3,3,3,2,3,3,3
32,1,1,3,2,3,1,3,1,8,1,2,1,2,4,1,4,1,4,1,1,1,3,2,3,1,4,1,3,3,3,2,2,2,2,2
33,1,2,2,2,3,2,4,4,4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
34,2,2,3,2,3,2,2,3,1,3,1,2,2,3,2,3,3,2,3,2,2,3,2,3,-2,3,3,3,3,2,3,2,8,2,2
35,2,2,3,2,3,2,3,2,5,3,2,2,2,3,2,4,2,4,2,2,1,3,2,4,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5
36,2,2,3,3,3,2,2,-2,1,3,1,3,3,2,4,2,3,3,3,3,3,2,3,2,-2,2,-2,3,3,2,3,2,3,2,8
37,1,2,3,2,4,3,3,2,5,3,2,3,2,3,3,2,3,3,3,1,1,3,2,3,2,4,2,4,3,3,3,1,4,1,3
38,2,2,3,1,2,3,3,3,5,3,2,2,2,2,1,3,3,3,3,1,2,2,2,3,1,3,3,4,3,3,3,2,3,1,2
39,1,1,4,2,4,1,4,2,1,3,1,1,1,4,1,4,4,4,1,1,2,2,2,2,1,4,1,3,3,3,2,2,3,2,3
40,2,2,3,2,2,2,3,2,2,3,1,2,2,2,2,3,2,3,2,2,2,3,2,3,2,3,2,4,4,3,3,3,3,1,3
